﻿date,instrument,tenor,yield
46115,국고채,1,3.009
46115,국고채,1.5,3.16
46115,국고채,2,3.36
46115,국고채,2.5,3.405
46115,국고채,3,3.445
46115,국고채,4,3.59
46115,국고채,5,3.618
46115,국고채,7,3.679
46115,국고채,10,3.744
46115,국고채,15,3.745
46115,국고채,20,3.69
46115,국고채,30,3.622
46114,국고채,0.25,2.63
46114,국고채,0.5,2.735
46114,국고채,0.75,2.836
46114,국고채,1,3.019
46114,국고채,1.5,3.18
46114,국고채,2,3.39
46114,국고채,2.5,3.44
46114,국고채,3,3.475
46114,국고채,4,3.636
46114,국고채,5,3.67
46114,국고채,7,3.73
46114,국고채,10,3.795
46114,국고채,15,3.8
46114,국고채,20,3.75
46114,국고채,30,3.702
46113,국고채,0.25,2.625
46113,국고채,0.5,2.725
46113,국고채,0.75,2.823
46113,국고채,1,2.999
46113,국고채,1.5,3.113
46113,국고채,2,3.325
46113,국고채,2.5,3.33
46113,국고채,3,3.37
46113,국고채,4,3.54
46113,국고채,5,3.568
46113,국고채,7,3.623
46113,국고채,10,3.69
46113,국고채,15,3.714
46113,국고채,20,3.68
46113,국고채,30,3.61
46112,국고채,0.25,2.643
46112,국고채,0.5,2.746
46112,국고채,0.75,2.855
46112,국고채,1,3.055
46112,국고채,1.5,3.24
46112,국고채,2,3.485
46112,국고채,2.5,3.509
46112,국고채,3,3.555
46112,국고채,4,3.745
46112,국고채,5,3.77
46112,국고채,7,3.813
46112,국고채,10,3.877
46112,국고채,15,3.899
46112,국고채,20,3.862
46112,국고채,30,3.77
46111,국고채,0.25,2.643
46111,국고채,0.5,2.753
46111,국고채,0.75,2.861
46111,국고채,1,3.062
46111,국고채,1.5,3.2
46111,국고채,2,3.47
46111,국고채,2.5,3.49
46111,국고채,3,3.542
46111,국고채,4,3.763
46111,국고채,5,3.8
46111,국고채,7,3.852
46111,국고채,10,3.895
46111,국고채,15,3.927
46111,국고채,20,3.895
46111,국고채,30,3.79
46108,국고채,0.25,2.633
46108,국고채,0.5,2.741
46108,국고채,0.75,2.86
46108,국고채,1,3.068
46108,국고채,1.5,3.22
46108,국고채,2,3.507
46108,국고채,2.5,3.535
46108,국고채,3,3.592
46108,국고채,4,3.795
46108,국고채,5,3.84
46108,국고채,7,3.881
46108,국고채,10,3.925
46108,국고채,15,3.962
46108,국고채,20,3.932
46108,국고채,30,3.82
46107,국고채,0.25,2.623
46107,국고채,0.5,2.73
46107,국고채,0.75,2.842
46107,국고채,1,3.049
46107,국고채,1.5,3.17
46107,국고채,2,3.455
46107,국고채,2.5,3.485
46107,국고채,3,3.545
46107,국고채,4,3.743
46107,국고채,5,3.788
46107,국고채,7,3.832
46107,국고채,10,3.85
46107,국고채,15,3.899
46107,국고채,20,3.875
46107,국고채,30,3.76
46106,국고채,0.25,2.64
46106,국고채,0.5,2.73
46106,국고채,0.75,2.832
46106,국고채,1,3.039
46106,국고채,1.5,3.185
46106,국고채,2,3.475
46106,국고채,2.5,3.495
46106,국고채,3,3.555
46106,국고채,4,3.749
46106,국고채,5,3.782
46106,국고채,7,3.834
46106,국고채,10,3.855
46106,국고채,15,3.874
46106,국고채,20,3.835
46106,국고채,30,3.717
46105,국고채,0.25,2.636
46105,국고채,0.5,2.726
46105,국고채,0.75,2.832
46105,국고채,1,3.009
46105,국고채,1.5,3.13
46105,국고채,2,3.446
46105,국고채,2.5,3.475
46105,국고채,3,3.532
46105,국고채,4,3.73
46105,국고채,5,3.755
46105,국고채,7,3.813
46105,국고채,10,3.838
46105,국고채,15,3.862
46105,국고채,20,3.822
46105,국고채,30,3.702
46104,국고채,0.25,2.636
46104,국고채,0.5,2.733
46104,국고채,0.75,2.839
46104,국고채,1,3.027
46104,국고채,1.5,3.221
46104,국고채,2,3.52
46104,국고채,2.5,3.56
46104,국고채,3,3.63
46104,국고채,4,3.818
46104,국고채,5,3.84
46104,국고채,7,3.893
46104,국고채,10,3.885
46104,국고채,15,3.892
46104,국고채,20,3.835
46104,국고채,30,3.725
46101,국고채,0.25,2.61
46101,국고채,0.5,2.706
46101,국고채,0.75,2.785
46101,국고채,1,2.957
46101,국고채,1.5,3.1
46101,국고채,2,3.31
46101,국고채,2.5,3.337
46101,국고채,3,3.412
46101,국고채,4,3.6
46101,국고채,5,3.615
46101,국고채,7,3.729
46101,국고채,10,3.735
46101,국고채,15,3.757
46101,국고채,20,3.698
46101,국고채,30,3.585
46100,국고채,0.25,2.587
46100,국고채,0.5,2.683
46100,국고채,0.75,2.762
46100,국고채,1,2.881
46100,국고채,1.5,3.033
46100,국고채,2,3.213
46100,국고채,2.5,3.23
46100,국고채,3,3.328
46100,국고채,4,3.545
46100,국고채,5,3.58
46100,국고채,7,3.675
46100,국고채,10,3.685
46100,국고채,15,3.721
46100,국고채,20,3.671
46100,국고채,30,3.557
46099,국고채,0.25,2.586
46099,국고채,0.5,2.678
46099,국고채,0.75,2.732
46099,국고채,1,2.829
46099,국고채,1.5,2.981
46099,국고채,2,3.146
46099,국고채,2.5,3.165
46099,국고채,3,3.265
46099,국고채,4,3.48
46099,국고채,5,3.517
46099,국고채,7,3.606
46099,국고채,10,3.61
46099,국고채,15,3.664
46099,국고채,20,3.63
46099,국고채,30,3.506
46098,국고채,0.25,2.59
46098,국고채,0.5,2.681
46098,국고채,0.75,2.736
46098,국고채,1,2.832
46098,국고채,1.5,3.033
46098,국고채,2,3.185
46098,국고채,2.5,3.215
46098,국고채,3,3.327
46098,국고채,4,3.54
46098,국고채,5,3.582
46098,국고채,7,3.68
46098,국고채,10,3.7
46098,국고채,15,3.742
46098,국고채,20,3.695
46098,국고채,30,3.577
46097,국고채,0.25,2.591
46097,국고채,0.5,2.685
46097,국고채,0.75,2.738
46097,국고채,1,2.826
46097,국고채,1.5,3.03
